ID,職員番号,氏名,勤務区分(platoon),階級,システム役割(role),年休残日数,所属署所ID(station_id)
1,"0001","システム管理者","nikkin","情報管理主任","sysadmin",20,1
2,"1001","田中 太郎","nikkin","消防司令","admin",20,1
3,"1002","鈴木 一郎","nikkin","消防司令","admin",20,1
4,"1003","佐藤 美咲","nikkin","消防士長","staff",18,1
5,"1004","高橋 健二","nikkin","消防司令補","staff",19,1
6,"1005","渡辺 誠","nikkin","消防司令補","staff",17.5,1
7,"1101","伊藤 浩一","1bu","消防司令補","chief",20,1
8,"1102","中村 大輔","1bu","消防司令補","chief",19,1
9,"1103","小林 翔太","1bu","消防士長","staff",18,1
10,"1104","加藤 隆志","1bu","消防士長","staff",17,1
11,"1105","吉田 誠一","1bu","消防士長","staff",16.5,1
12,"1106","山田 拓也","1bu","消防副士長","staff",15,1
13,"1107","佐々木 亮","1bu","消防副士長","staff",14.5,1
14,"1108","松本 和也","1bu","消防副士長","staff",14,1
15,"1109","井上 直樹","1bu","消防士","staff",13,1
16,"1110","木村 康平","1bu","消防士","staff",12.5,1
17,"1111","林 大地","1bu","消防士","staff",12,1
18,"1112","清水 裕太","1bu","消防士","staff",11,1
19,"1113","山崎 光","1bu","消防士","staff",10.5,1
20,"1114","池田 蓮","1bu","消防士","staff",10,1
21,"1115","橋本 遼","1bu","消防士","staff",10,1
22,"1116","石井 颯太","1bu","消防士","staff",10,1
23,"1201","前田 修一","2bu","消防司令補","chief",20,1
24,"1202","藤田 圭介","2bu","消防司令補","chief",19.5,1
25,"1203","後藤 正義","2bu","消防士長","staff",18,1
26,"1204","長谷川 剛","2bu","消防士長","staff",17.5,1
27,"1205","村上 貴文","2bu","消防士長","staff",16,1
28,"1206","近藤 雅人","2bu","消防副士長","staff",15.5,1
29,"1207","坂本 竜也","2bu","消防副士長","staff",14,1
30,"1208","遠藤 瑛太","2bu","消防副士長","staff",13.5,1
31,"1209","青木 裕介","2bu","消防士","staff",12,1
32,"1210","藤井 陽介","2bu","消防士","staff",11.5,1
33,"1211","岡田 悠真","2bu","消防士","staff",11,1
34,"1212","原田 奏汰","2bu","消防士","staff",10.5,1
35,"1213","中島 海斗","2bu","消防士","staff",10,1
36,"1214","小川 陸斗","2bu","消防士","staff",10,1
37,"1215","松田 凌","2bu","消防士","staff",10,1
38,"1216","上田 湊","2bu","消防士","staff",10,1
39,"2001","中村 護","nikkin","消防司令","admin",20,2
40,"2002","山口 真理","nikkin","消防士長","staff",18,2
41,"2101","加藤 恵介","1bu","消防司令補","chief",20,2
42,"2102","吉田 大輔","1bu","消防士長","staff",18.5,2
43,"2103","石川 洋平","1bu","消防副士長","staff",15,2
44,"2104","前川 悠希","1bu","消防副士長","staff",14,2
45,"2105","野口 健太","1bu","消防士","staff",12,2
46,"2106","田村 颯","1bu","消防士","staff",11,2
47,"2107","内田 蒼空","1bu","消防士","staff",10,2
48,"2108","宮崎 瑛斗","1bu","消防士","staff",10,2
49,"2201","安藤 信吾","2bu","消防司令補","chief",20,2
50,"2202","高田 勝也","2bu","消防士長","staff",17.5,2
51,"2203","森田 紘一","2bu","消防副士長","staff",15,2
52,"2204","福田 翔馬","2bu","消防副士長","staff",14,2
53,"2205","西田 涼介","2bu","消防士","staff",12,2
54,"2206","三浦 蓮太","2bu","消防士","staff",11,2
55,"2207","川口 大翔","2bu","消防士","staff",10,2
56,"2208","久保 晴","2bu","消防士","staff",10,2
57,"3001","佐々木 茂","nikkin","消防司令","admin",19,3
58,"3002","山本 智子","nikkin","消防士長","staff",17,3
59,"3101","松尾 和彦","1bu","消防司令補","chief",20,3
60,"3102","山口 隆二","1bu","消防士長","staff",18,3
61,"3103","大野 智也","1bu","消防副士長","staff",15.5,3
62,"3104","岩崎 陽翔","1bu","消防副士長","staff",14,3
63,"3105","菅原 大河","1bu","消防士","staff",12,3
64,"3106","桜井 結斗","1bu","消防士","staff",11,3
65,"3107","川上 朝陽","1bu","消防士","staff",10,3
66,"3108","永井 壮馬","1bu","消防士","staff",10,3
67,"3201","水野 賢治","2bu","消防司令補","chief",20,3
68,"3202","今村 雄大","2bu","消防士長","staff",17,3
69,"3203","堀田 京介","2bu","消防副士長","staff",15,3
70,"3204","平田 航平","2bu","消防副士長","staff",14.5,3
71,"3205","新井 拓海","2bu","消防士","staff",12,3
72,"3206","古川 陽太","2bu","消防士","staff",11,3
73,"3207","吉村 琉生","2bu","消防士","staff",10,3
74,"3208","河野 隼人","2bu","消防士","staff",10,3
